Number,Base ms,Miller ms
1094,0.000042,0.000083
1095,0.000125,0.000125
1096,0.000042,0.000083
1097,0.000125,0.048833
1098,0.000042,0.000084
1099,0.000084,0.000083
1100,0.000083,0.000041
1101,0.000083,0.000083
1102,0.000042,0.000041
1103,0.000125,0.063667
1104,0.000083,0.000084
1105,0.000084,0.000125
1106,0.000042,0.000083
1107,0.000125,0.000125
1108,0.000041,0.000084
1109,0.000166,0.060959
1110,0.000083,0.000125
1111,0.000125,0.000167
1112,0.000083,0.000083
1113,0.000084,0.000083
1114,0.000084,0.000083
1115,0.000042,0.000083
1116,0.000042,0.000042
1117,0.000125,0.057125
1118,0.000042,0.000083
1119,0.000125,0.000125
1120,0.000042,0.000083
1121,0.000125,0.000125
1122,0.000042,0.000042
1123,0.000166,0.054500
1124,0.000042,0.000083
1125,0.000083,0.000125
1126,0.000042,0.000041
1127,0.000084,0.000083
1128,0.000042,0.000125
1129,0.000084,0.050041
1130,0.000083,0.000084
1131,0.000083,0.000125
1132,0.000042,0.000084
1133,0.000042,0.000083
1134,0.000042,0.000083
1135,0.000041,0.000125
1136,0.000042,0.000084
1137,0.000041,0.000084
1138,0.000041,0.000083
1139,0.000083,0.000125
1140,0.000042,0.000083
1141,0.000042,0.000083
1142,0.000208,0.000459
1143,0.000083,0.000208
1144,0.000042,0.000084
1145,0.000167,0.000542
1146,0.000042,0.000125
1147,0.000083,0.000125
1148,0.000042,0.000083
